AGENCY NAME + PIT OFF SET COUNT,PIT OFFSET COUNT, OFF SET AMOUNT ,LOTTERY OFFSET COUNT,OFFSET AMOUNT,UNCLAIMED PROPERTY OFFSET COUNT,OFFSET AMOUNT2,TOTAL OFFSET COUNT,TOTAL OFFSET AMOUNT
CY 2018,,,,,,,,
UMASS GLOBAL,758,430934.72,3,2210,31,2066.92,792,435211.64
NOTRE DAME DE NAMUR UNIVERSITY,39,11161.32,,,1,15,40,11676
VANGUARD UNIVERSITY,69,23958.21,,,2,29.92,71,23988.13
UNIVERSITY OF SOUTHERN CALIF,300,145527.64,,,19,4678.37,319,150206.01
PEPPERDINE UNIVERSITY,23,17472.41,,,,,,17472.41
STANFORD UNIVERSITY,34,29314.06,,,,,,29314.06
SANTA CLARA UNIVERSITY,49,6401.00,,,,,,6401
UNIVERSITY OF LA VERNE,86,28797.17,,,1,5.95,87,29314.06
BIOLA UNIVERSITY,14,4581.73,,,,,14,4581.73
WHITTIER COLLEGE,188,77505.50,,,3,51.71,191,77557.21
LOMA LINDA UNIVERSITY,45,34849.20,,,1,1951.57,46,36800.77
LOYOLA MARYMOUNT UNIVERSITY,255,114342.65,1,100,2,62.71,258,114505.36
SAINT MARY'S COLLEGE OF CA,39,14717.99,,,,0.99,40,14718.98
LA SIERRA UNIVERSITY,60,24458.31,,,,,60,24458.31
CA COLLEGE OF ARTS,19,3601.67,,,,,19,3601.67
CHAPMAN UNIVERSITY,44,16873.07,,,,,44,16873.07
CY 2019,,,,,,,,
UMASS GLOBAL,711,379398.85,0,0,21,1745.25,732,"$381,144.10 "
UNIVERSITY OF REDLANDS,66,39289.43,1,803,1,10,68,"$40,102.43 "
NOTRE DAME DE NAMUR UNIVERSITY,42,14806.76,0,0,1,26.37,43,"$14,833.13 "
UNIVERSITY OF SOUTHERN CALIF,220,112150.82,0,0,15,2960.38,235,"$115,111.20 "
PEPPERDINE UNIVERSITY,25,23058.06,0,0,0,0,25,"$23,058.06 "
STANFORD UNIVERSITY,19,13659.39,0,0,0,0,19,"$13,659.39 "
SANTA CLARA UNIVERSITY,69,8703.57,0,0,0,0,69,"$8,703.57 "
UNIVERSITY OF LA VERNE,122,43587.36,2,921.79,0,0,124,"$44,509.15 "
BIOLA UNIVERSITY,8,2264.33,0,0,0,0,8,"$2,264.33 "
WHITTIER COLLEGE,104,60308.73,1,922,5,718.25,110,"$61,948.98 "
LOMA LINDA UNIVERSITY,35,25458.37,0,0,0,0,35,"$25,458.37 "
LOYOLA MARYMOUNT UNIVERSITY,272,139692.59,0,0,8,114.65,280,"$139,807.24 "
SAINT MARY'S COLLEGE OF CA,28,12825.79,1,"1,000.00",0,0,29,"$13,825.79 "
