"","AGENCY_NAME","2019_PIT_OFFSET_COUNT","2019_PIT_OFFSET_AMOUNT","2019_LOTTERY_OFFSET_COUNT","2019_LOTTERY_OFFSET_AMOUNT","2019_UNCLAIMED_PROPERTY_OFFSET_COUNT","2019_UNCLAIMED_PROPERTY_OFFSET_AMOUNT","2019_TOTAL_OFFSET_COUNT","2019_TOTAL_OFFSET_AMOUNT","2020_PIT_OFFSET_COUNT","2020_PIT_OFFSET_AMOUNT","2020_LOTTERY_OFFSET_COUNT","2020_LOTTERY_OFFSET_AMOUNT","2020_UNCLAIMED_PROPERTY_OFFSET_COUNT","2020_UNCLAIMED_PROPERTY_OFFSET_AMOUNT","2020_TOTAL_OFFSET_COUNT","2020_TOTAL_OFFSET_AMOUNT","2021_PIT_OFFSET_COUNT","2021_PIT_OFFSET_AMOUNT","2021_LOTTERY_OFFSET_COUNT","2021_LOTTERY_OFFSET_AMOUNT","2021_UNCLAIMED_PROPERTY_OFFSET_COUNT","2021_UNCLAIMED_PROPERTY_OFFSET_AMOUNT","2021_TOTAL_OFFSET_COUNT","2021_TOTAL_OFFSET_AMOUNT","2022_PIT_OFFSET_COUNT","2022_PIT_OFFSET_AMOUNT","2022_LOTTERY_OFFSET_COUNT","2022_LOTTERY_OFFSET_AMOUNT","2022_UNCLAIMED_PROPERTY_OFFSET_COUNT","2022_UNCLAIMED_PROPERTY_OFFSET_AMOUNT","2022_TOTAL_OFFSET_COUNT","2022_TOTAL_OFFSET_AMOUNT","2023_PIT_OFFSET_COUNT","2023_PIT_OFFSET_AMOUNT","2023_LOTTERY_OFFSET_COUNT","2023_LOTTERY_OFFSET_AMOUNT","2023_UNCLAIMED_PROPERTY_OFFSET_COUNT","2023_UNCLAIMED_PROPERTY_OFFSET_AMOUNT","2023_TOTAL_OFFSET_COUNT","2023_TOTAL_OFFSET_AMOUNT"
"1","BIOLA UNIVERSITY",8,2264.33,0,0,0,0,8,2264.33,4,1223,0,0,0,0,4,1223,1,221,0,0,0,0,1,221,11,3661.68,0,0,2,435.88,13,4097.56,0,0,0,0,0,0,0,0
"2","CA COLLEGE OF ARTS",13,3580.13,0,0,1,194.12,14,3774.25,7,2189.68,0,0,0,0,7,2189.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CHAPMAN UNIVERSITY",43,18294.08,0,0,1,562,44,18856.08,13,6090.78,0,0,0,0,13,6090.78,4,1593.38,0,0,1,36.36,5,1629.74,32,12364.71,0,0,0,0,32,12364.71,32,19362.4,0,0,0,0,32,19362.4
"4","LA SIERRA UNIVERSITY",48,15481.51,0,0,0,0,48,15481.51,26,9779.86,0,0,0,0,26,9779.86,5,1228.41,0,0,1,25.74,6,1254.15,67,39671.01,0,0,0,0,67,39671.01,30,18839.33,0,0,2,196.1,32,19035.43
"5","LOMA LINDA UNIVERSITY",35,25458.37,0,0,0,0,35,25458.37,13,8865.78,0,0,0,0,13,8865.78,4,27624.2,0,0,1,1064.45,5,28688.65,24,25085.47,0,0,0,0,24,25085.47,8,9309.11,0,0,0,0,8,9309.11
"6","LOYOLA MARYMOUNT UNIVERSITY",272,139692.59,0,0,8,114.65,280,139807.24,114,47830.01,0,0,0,0,114,47830.01,60,24378.2,0,0,1,141.13,61,24519.33,295,162234.18,2,2000,4,487.74,301,164731.92,256,202512.2,0,0,1,24.84,257,202537.04
"7","NOTRE DAME DE NAMUR UNIVERSITY",42,14806.76,0,0,1,26.37,43,14833.13,17,3608.68,0,0,0,0,17,3608.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11233.23,0,0,0,0,15,11233.23
"8","PEPPERDINE UNIVERSITY",25,23058.06,0,0,0,0,25,23058.06,3,4124.14,0,0,0,0,3,4124.14,5,1608.77,0,0,1,41.81,6,1650.58,6,2759,0,0,0,0,6,2759,0,0,0,0,0,0,0,0
"9","SAINT MARY'S COLLEGE OF CA",28,12825.79,1,1000,0,0,29,13825.79,6,2584.1,0,0,0,0,6,2584.1,6,1521.5,0,0,0,0,6,1521.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SANTA CLARA UNIVERSITY",69,8703.57,0,0,0,0,69,8703.57,26,3726.46,0,0,2,100,28,3826.46,21,2986.05,1,100,0,0,22,3086.05,74,10537.55,0,0,0,0,74,10537.55,41,5809,0,0,0,0,41,5809
"11","STANFORD REDWOOD CITY CAMPUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6362.6,0,0,0,0,38,6362.6
"12","STANFORD UNIVERSITY",19,13659.39,0,0,0,0,19,13659.39,19,9989,0,0,0,0,19,9989,25,3297.18,1,220,1,111,27,3630.18,135,23521.69,1,82,4,537.66,140,24141.35,80,18696.06,1,380.6,1,20.75,82,19097.41
"13","UMASS GLOBAL",711,379398.85,0,0,21,1745.25,732,381144.1,393,224694.03,3,4387.65,0,0,396,229081.68,98,59184.9,3,3000,6,257.42,107,62442.32,797,523707.35,3,1968.61,12,639.04,812,526315.03,757,488313.14,1,1000,3,292.71,761,489605.85
"14","UNIVERSITY OF LA VERNE",122,43587.36,2,921.79,0,0,124,44509.15,45,12074.46,0,0,0,0,45,12074.46,12,4147.13,0,0,0,0,12,4147.13,31,18614.08,0,0,0,0,31,18614.08,0,0,0,0,0,0,0,0
"15","UNIVERSITY OF REDLANDS",66,39289.43,1,803,1,10,68,40102.43,40,23028.28,0,0,2,147.17,42,23175.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
