"CALENDAR.YEAR","CATEGORY","AGENCY.NAME","X1..PIT.OFFSET.COUNT","X1..PIT.OFFSET.AMOUNT","X2..LOTTERY.OFFSET.COUNT","X2..LOTTERY.OFFSET.AMOUNT","X3..UNCLAIMED.PROPERTY.OFFSET.COUNT","X3..UNCLAIMED.PROPERTY.OFFSET.AMOUNT","Total.OFFSET.COUNT","Total.OFFSET.AMOUNT","AGENCY_CLEAN","Year","PIT_Count","PIT_Amount","Lottery_Count","Lottery_Amount","UCP_Count","UCP_Amount","Total_Count","Total_Amount","Lottery_UCP_Amount","Lottery_UCP_Count"
"CY2018","6 - OTHER STATES","UMASS GLOBAL 758 $430,934.72","758","$430,934.72","3","$2,210.00","31","$2,066.92","792","$435,211.64","UMASS GLOBAL",2018,758,430934.72,3,2210,31,2066.92,792,435211.64,4276.92,34
"CY2018","6 - OTHER STATES","NOTRE DAME DE NAMUR UNIVERSITY 39","39","$11,661.32","","","1","$15.00","40","$11,676.32","NOTRE DAME DE NAMUR UNIVERSITY",2018,39,11661.32,0,0,1,15,40,11676.32,15,1
"CY2018","6 - OTHER STATES","VANGUARD UNIVERSITY 69","69","$23,958.21","","","2","$29.92","71","$23,988.13","VANGUARD UNIVERSITY",2018,69,23958.21,0,0,2,29.92,71,23988.13,29.92,2
"CY2018","6 - OTHER STATES","UNIVERSITY OF SOUTHERN CALIFORNIA 300 $145,527.64","300","$145,527.64","","","19","$4,678.37","319","$150,206.01","UNIVERSITY OF SOUTHERN CALIFORNIA",2018,300,145527.64,0,0,19,4678.37,319,150206.01,4678.37,19
"CY2018","6 - OTHER STATES","PEPPERDINE UNIVERSITY 23","23","$17,472.41","","","","","23","$17,472.41","PEPPERDINE UNIVERSITY",2018,23,17472.41,0,0,0,0,23,17472.41,0,0
"CY2018","6 - OTHER STATES","STANFORD UNIVERSITY 34","34","$29,314.06","","","","","34","$29,314.06","STANFORD UNIVERSITY",2018,34,29314.06,0,0,0,0,34,29314.06,0,0
"CY2018","6 - OTHER STATES","SANTA CLARA UNIVERSITY 49","49","$6,401.00","","","","","49","$6,401.00","SANTA CLARA UNIVERSITY",2018,49,6401,0,0,0,0,49,6401,0,0
"CY2018","6 - OTHER STATES","UNIVERSITY OF LA VERNE 86","86","$28,797.17","","","1","$5.95","87","$28,803.12","UNIVERSITY OF LA VERNE",2018,86,28797.17,0,0,1,5.95,87,28803.12,5.95,1
"CY2018","6 - OTHER STATES","BIOLA UNIVERSITY 14","14","$4,581.73","","","","","14","$4,581.73","BIOLA UNIVERSITY",2018,14,4581.73,0,0,0,0,14,4581.73,0,0
"CY2018","6 - OTHER STATES","WHITTIER COLLEGE 188","188","$77,505.50","","","3","$51.71","191","$77,557.21","WHITTIER COLLEGE",2018,188,77505.5,0,0,3,51.71,191,77557.21,51.71,3
"CY2018","6 - OTHER STATES","LOMA LINDA UNIVERSITY 45","45","$34,849.20","","","1","$1,951.57","46","$36,800.77","LOMA LINDA UNIVERSITY",2018,45,34849.2,0,0,1,1951.57,46,36800.77,1951.57,1
"CY2018","6 - OTHER STATES","LOYOLA MARYMOUNT UNIVERSITY 255 $114,342.65","255","$114,342.65","1","$100.00","2","$62.71","258","$114,505.36","LOYOLA MARYMOUNT UNIVERSITY",2018,255,114342.65,1,100,2,62.71,258,114505.36,162.71,3
"CY2018","6 - OTHER STATES","SAINT MARY'S COLLEGE OF CA 39","39","$14,717.99","","","1","$0.99","40","$14,718.98","SAINT MARY'S COLLEGE OF CA",2018,39,14717.99,0,0,1,0.99,40,14718.98,0.99,1
"CY2018","6 - OTHER STATES","LA SIERRA UNIVERSITY 60","60","$24,458.31","","","","","60","$24,458.31","LA SIERRA UNIVERSITY",2018,60,24458.31,0,0,0,0,60,24458.31,0,0
"CY2018","6 - OTHER STATES","CA COLLEGE OF ARTS 19","19","$3,601.67","","","","","19","$3,601.67","CA COLLEGE OF ARTS",2018,19,3601.67,0,0,0,0,19,3601.67,0,0
"CY2018","6 - OTHER STATES","CHAPMAN UNIVERSITY 44","44","$16,873.07","","","","","44","$16,873.07","CHAPMAN UNIVERSITY",2018,44,16873.07,0,0,0,0,44,16873.07,0,0
"CY2019","6 - OTHER STATES","UMASS GLOBAL 711","711","$379,398.85","","","21","$1,745.25","732","$381,144.10","UMASS GLOBAL",2019,711,379398.85,0,0,21,1745.25,732,381144.1,1745.25,21
"CY2019","6 - OTHER STATES","UNIVERSITY OF REDLANDS 66","66","$39,289.43","1","$803.00","1","$10.00","68","$40,102.43","UNIVERSITY OF REDLANDS",2019,66,39289.43,1,803,1,10,68,40102.43,813,2
