"CALENDAR.YEAR","CATEGORY","AGENCY.NAME","X1..PIT.OFFSET.COUNT","X1..PIT.OFFSET.AMOUNT","X2..LOTTERY.OFFSET.COUNT","X2..LOTTERY.OFFSET.AMOUNT","X3..UNCLAIMED.PROPERTY.OFFSET.COUNT","X3..UNCLAIMED.PROPERTY.OFFSET.AMOUNT","Total.OFFSET.COUNT","Total.OFFSET.AMOUNT","AGENCY_CLEAN","Year","PIT_Count","PIT_Amount","Lottery_Count","Lottery_Amount","UCP_Count","UCP_Amount","Total_Count","Total_Amount","Lottery_UCP_Amount","Lottery_UCP_Count"
"CY2018","2 - CITY","CITY OF ARTESIA 5","5","$3,014.00","","","","","5","$3,014.00","CITY OF ARTESIA",2018,5,3014,0,0,0,0,5,3014,0,0
"CY2018","2 - CITY","CITY OF LEMON GROVE 38","38","$3,843.83","1","$88.00","","","39","$3,931.83","CITY OF LEMON GROVE",2018,38,3843.83,1,88,0,0,39,3931.83,88,1
"CY2018","2 - CITY","CITY OF GRAND TERRACE 66","66","$7,067.62","","","1","$20.79","67","$7,088.41","CITY OF GRAND TERRACE",2018,66,7067.62,0,0,1,20.79,67,7088.41,20.79,1
"CY2018","2 - CITY","CITY OF STOCKTON 930 $131,138.51","930","$131,138.51","8","$1,145.34","26","$1,526.45","964","$133,810.30","CITY OF STOCKTON",2018,930,131138.51,8,1145.34,26,1526.45,964,133810.3,2671.79,34
"CY2018","2 - CITY","TIBURON POLICE DEPT 15","15","$4,129.15","","","","","15","$4,129.15","TIBURON POLICE DEPT",2018,15,4129.15,0,0,0,0,15,4129.15,0,0
"CY2018","2 - CITY","CITY OF CORONA 2","2","$984.45","","","","","2","$984.45","CITY OF CORONA",2018,2,984.45,0,0,0,0,2,984.45,0,0
"CY2018","2 - CITY","CITY OF LARKSPUR 1","1","$105.00","","","1","$2.23","2","$107.23","CITY OF LARKSPUR",2018,1,105,0,0,1,2.23,2,107.23,2.23,1
"CY2018","2 - CITY","CITY OF CORONADO 36","36","$3,509.64","","","1","$56.00","37","$3,565.64","CITY OF CORONADO",2018,36,3509.64,0,0,1,56,37,3565.64,56,1
"CY2018","2 - CITY","CITY OF BELL 248","248","$36,459.28","4","$659.50","4","$426.27","256","$37,545.05","CITY OF BELL",2018,248,36459.28,4,659.5,4,426.27,256,37545.05,1085.77,8
"CY2018","2 - CITY","CITY OF WEST SACRAMENTO 7","7","$4,945.60","","","","","7","$4,945.60","CITY OF WEST SACRAMENTO",2018,7,4945.6,0,0,0,0,7,4945.6,0,0
"CY2018","2 - CITY","CITY OF LYNWOOD 606","606","$91,723.59","2","$475.00","6","$417.57","614","$92,616.16","CITY OF LYNWOOD",2018,606,91723.59,2,475,6,417.57,614,92616.16,892.57,8
"CY2018","2 - CITY","CITY OF VACAVILLE 131","131","$15,935.24","","","5","$322.06","136","$16,257.30","CITY OF VACAVILLE",2018,131,15935.24,0,0,5,322.06,136,16257.3,322.06,5
"CY2018","2 - CITY","CITY OF FRESNO 25","25","$8,682.70","","","","","25","$8,682.70","CITY OF FRESNO",2018,25,8682.7,0,0,0,0,25,8682.7,0,0
"CY2018","2 - CITY","CITY OF HAWAIIAN GARDENS 2","2","$383.58","","","","","2","$383.58","CITY OF HAWAIIAN GARDENS",2018,2,383.58,0,0,0,0,2,383.58,0,0
"CY2018","2 - CITY","CITY OF NORWALK 11","11","$2,660.00","","","","","11","$2,660.00","CITY OF NORWALK",2018,11,2660,0,0,0,0,11,2660,0,0
"CY2018","2 - CITY","CITY OF LAKE ELSINORE 347","347","$48,001.49","1","$116.00","4","$221.86","352","$48,339.35","CITY OF LAKE ELSINORE",2018,347,48001.49,1,116,4,221.86,352,48339.35,337.86,5
"CY2018","2 - CITY","CITY OF VACAVILLE 351","351","$51,784.44","3","$379.20","14","$2,065.51","368","$54,229.15","CITY OF VACAVILLE",2018,351,51784.44,3,379.2,14,2065.51,368,54229.15,2444.71,17
"CY2018","2 - CITY","BAY AREA TOLL AUTHORITY (BATA) 16,195 $2,979,442.86","16,195","$2,979,442.86","71","$22,895.27","356","$31,390.15","16,622","$3,033,728.28","BAY AREA TOLL AUTHORITY (BATA)",2018,16195,2979442.86,71,22895.27,356,31390.15,16622,3033728.28,54285.42,427
