Institution,Enrollment Date 1,Enrollment Date 2,Enrollment Date 3,Types of Debts Listed on Form
Brandman University,8/5/2016,,,"Dishonored checks, Fees, Fines, Tuition, Overpayment"
University of Redlands,9/16/2018,,,"Dishonored checks, Fees, Fines, Parking Citations, Tuition, Insurance, Other: On Campus Housing Fees, Other: Meal Plan Fees"
Stanford Redwood City Campus,10/25/2022,,,No form produced
Stanford University,1/8/2020,,,"Dishonored checks, Fees, Fines"
UMass Global,10/13/2021,,,"Dishonored checks, Fees, Fines, Tuition, Unpaid Services, Overpayment"
Azusa Pacific University,10/24/2013,,,No form produced
California College of the Arts,10/24/2013,,,No form produced
California Lutheran University,10/23/2013,10/23/2015,2/1/2016,No form produced
Chapman University,10/28/2013,,,No form produced
La Sierra University,10/24/2013,,,No form produced
Loma Linda University,9/21/2013,,,"No form produced, but the FTB letter erroneously calls them a “state agency”"
Loyola Marymount University,9/19/2013,,,No form produced
Notre Dame De Namur University,7/16/2014,,,No form produced
Pacific Union College,10/24/2013,,,No form produced
Saint Mary’s College of California,9/23/2013,,,"No form produced, but the FTB letter erroneously calls them a “state agency”"
Santa Clara University,10/11/2013,,,No form produced
Biola University,9/11/2013,,,"No form produced, but the FTB letter erroneously calls them a “state agency”"
University of LaVerne,9/25/2013,,,No form produced
University of Southern California,9/8/2010,,,No form produced
Vanguard University,10/9/2014,,,No form produced
Whittier College,9/25/2013,,,No form produced
