CALENDAR YEAR,CATEGORY,AGENCY NAME,1. PIT OFFSET COUNT,1. PIT OFFSET AMOUNT,2. LOTTERY OFFSET COUNT,2. LOTTERY OFFSET AMOUNT,3. UNCLAIMED PROPERTY OFFSET COUNT,3. UNCLAIMED PROPERTY OFFSET AMOUNT,Total OFFSET COUNT,Total OFFSET AMOUNT
CY2018,2 - CITY,CITY OF ARTESIA,5,"$3,014.00",,,,,5,"$3,014.00"
CY2018,2 - CITY,CITY OF LEMON GROVE,38,"$3,843.83",1,$88.00,,,39,"$3,931.83"
CY2018,2 - CITY,CITY OF GRAND TERRACE,66,"$7,067.62",,,1,$20.79,67,"$7,088.41"
CY2018,2 - CITY,CITY OF STOCKTON,930,"$131,138.51",8,"$1,145.34",26,"$1,526.45",964,"$133,810.30"
CY2018,2 - CITY,TIBURON POLICE DEPT,15,"$4,129.15",,,,,15,"$4,129.15"
CY2018,2 - CITY,CITY OF CORONA,2,$984.45,,,,,2,$984.45
CY2018,2 - CITY,CITY OF LARKSPUR,1,$105.00,1,$2.23,,,2,$107.23
CY2018,2 - CITY,CITY OF CORONADO,36,"$3,509.64",,,1,$56.00,37,"$3,565.64"
CY2018,2 - CITY,CITY OF BELL,248,"$36,459.28",4,$659.50,4,$426.27,256,"$37,545.05"
CY2018,2 - CITY,CITY OF WEST SACRAMENTO,7,"$4,945.60",,,,,7,"$4,945.60"
CY2018,2 - CITY,CITY OF LYNWOOD,606,"$91,723.59",2,$475.00,6,$417.57,614,"$92,616.16"
CY2018,2 - CITY,CITY OF VACAVILLE,131,"$15,935.24",5,$322.06,,,136,"$16,257.30"
CY2018,2 - CITY,CITY OF FRESNO,25,"$8,682.70",,,,,25,"$8,682.70"
CY2018,2 - CITY,CITY OF HAWAIIAN GARDENS,2,$383.58,,,,,2,$383.58
CY2018,2 - CITY,CITY OF NORWALK,11,"$2,660.00",,,,,11,"$2,660.00"
CY2018,2 - CITY,CITY OF LAKE ELSINORE,347,"$48,001.49",1,$116.00,4,$221.86,352,"$48,339.35"
CY2018,2 - CITY,CITY OF VACAVILLE,351,"$51,784.44",3,$379.20,14,"$2,065.51",368,"$54,229.15"
CY2018,2 - CITY,BAY AREA TOLL AUTHORITY (BATA),"16,195","$2,979,442.86",71,"$22,895.27",356,"$31,390.15","16,622","$3,033,728.28"
CY2018,2 - CITY,"CITY OF RIVERSIDE, PARKING","1,650","$214,116.68",7,"$1,075.00",34,"$2,153.50","1,691","$217,345.18"
CY2018,2 - CITY,CITY OF SAN JUAN CAPISTRANO,158,"$30,378.38",1,$779.00,6,$229.37,165,"$31,386.75"
CY2018,2 - CITY,CITY OF DOWNEY,683,"$69,034.27",5,$413.00,10,"$1,792.10",698,"$71,239.37"
CY2018,2 - CITY,CITY OF SALINAS,400,"$39,494.31",3,$244.00,11,$695.51,414,"$40,433.82"
CY2018,2 - CITY,CITY OF BLYTHE,10,"$2,555.68",,,,,10,"$2,555.68"
CY2018,2 - CITY,CITY OF CLAREMONT,174,"$19,855.69",1,$93.00,3,$146.79,178,"$20,095.48"
CY2018,2 - CITY,CITY OF LA HABRA,612,"$84,591.11",3,$488.00,6,$228.47,621,"$85,307.58"
CY2018,2 - CITY,SUISUN CITY,327,"$76,265.02",3,$482.00,5,$866.25,335,"$77,613.27"
CY2018,2 - CITY,CITY OF RANCHO SANTA,31,"$2,548.45",,,,,31,"$2,548.45"
CY2018,2 - CITY,CITY OF RANCHO CORDOVA,229,"$54,206.09",2,$269.09,,,231,"$54,475.18"
CY2018,2 - CITY,CITY OF VISTA,45,"$14,254.38",1,$100.79,,,46,"$14,355.17"
CY2018,2 - CITY,HILLS CITY OF,4,$891.00,,,,,4,$891.00
CY2018,2 - CITY,CITY OF FRESNO,"2,276","$280,268.53",9,"$1,527.00",60,"$5,090.57","2,345","$286,886.10"
CY2018,2 - CITY,CITY OF IRVINE,56,"$6,143.00",1,$132.00,2,$179.97,59,"$6,454.97"
CY2018,2 - CITY,CITY OF CONCORD,234,"$46,377.03",5,"$1,615.10",7,"$1,210.15",246,"$49,202.28"
CY2018,2 - CITY,CITY OF PERRIS,345,"$39,674.31",2,$234.00,11,"$1,121.52",358,"$41,029.83"
CY2018,2 - CITY,OF LA PUENTE,4,$726.00,,,,,4,$726.00
CY2018,2 - CITY,CITY OF BEVERLY HILLS,248,"$39,279.21",3,$435.00,6,$851.88,257,"$40,566.09"
CY2018,2 - CITY,CITY OF LOMPOC,110,"$17,822.46",1,$225.00,2,$254.94,113,"$18,302.40"
CY2018,2 - CITY,OF SANTA ROSA,4,"$1,336.00",,,,,4,"$1,336.00"
CY2018,2 - CITY,LUIS OBISPO HOUSING AUTHORITY,11,"$4,803.50",,,,,11,"$4,803.50"
CY2018,2 - CITY,FULLERTON POLICE DEPARTMENT,865,"$126,787.88",7,$959.00,22,"$1,925.64",894,"$129,672.52"
CY2018,2 - CITY,CITY OF SAN FERNANDO,354,"$53,031.37",6,$598.00,8,$430.98,368,"$54,060.35"
CY2018,2 - CITY,OF SEAL BEACH,47,"$7,705.53",,,,,47,"$7,705.53"
CY2018,2 - CITY,CITY OF HAWTHORNE,"1,854","$300,338.77",15,"$3,676.00",37,"$2,908.39","1,906","$306,923.16"
CY2018,2 - CITY,CITY OF ANAHEIM,113,"$30,727.24",2,"$1,181.50",5,$508.51,120,"$32,417.25"
CY2018,2 - CITY,CLARA CITY OF,189,"$10,629.20",2,$91.74,,,191,"$10,720.94"
CY2018,2 - CITY,CITY OF ROCKLIN,30,"$3,172.00",,,,,30,"$3,172.00"
CY2018,2 - CITY,CITY OF SANTA CLARA,249,"$32,903.20",1,$116.00,2,$130.21,252,"$33,149.41"
